CANDIDATO;SEÇÃO 01;SEÇÃO 02;SEÇÃO 03;SEÇÃO 04;SEÇÃO 05/104;SEÇÃO 06;SEÇÃO 07/8;SEÇÃO 09/10;SEÇÃO 11/12;SEÇÃO 13/14;SEÇÃO 15/16;SEÇÃO 17/18;SEÇÃO 19;SEÇÃO 20;SEÇÃO 21;SEÇÃO 22;SEÇÃO 23;SEÇÃO 24;SEÇÃO 25/30;SEÇÃO 27/38;SEÇÃO 31;SEÇÃO 32;SEÇÃO 33;SEÇÃO 34;SEÇÃO 35;SEÇÃO 36/37;SEÇÃO 40/57;SEÇÃO 47/128;SEÇÃO 49;SEÇÃO 50/51;SEÇÃO 52;SEÇÃO 53;SEÇÃO 54/149;SEÇÃO 55;SEÇÃO 56;SEÇÃO 61;SEÇÃO 63;SEÇÃO 64;SEÇÃO 65;SEÇÃO 66;SEÇÃO 67;SEÇÃO 68;SEÇÃO 69;SEÇÃO 70;SEÇÃO 71;SEÇÃO  72;SEÇÃO 73;SEÇÃO 74;SEÇÃO 75;SEÇÃO 76;SEÇÃO 77;SEÇÃO 78;SEÇÃO 80;SEÇÃO 81;SEÇÃO 82;SEÇÃO 83/123;SEÇÃO 84;SEÇÃO 89;SEÇÃO 90;SEÇÃO 91;SEÇÃO 92/121;SEÇÃO 94/130;SEÇÃO 95;SEÇÃO 96;SEÇÃO 97;SEÇÃO 99;SEÇÃO 100;SEÇÃO 101;SEÇÃO 102;SEÇÃO 106;SEÇÃO 107;SEÇÃO 109;SEÇÃO 110;SEÇÃO 111;SEÇÃO 112;SEÇÃO 113;SEÇÃO 114;SEÇÃO 115;SEÇÃO 116;SEÇÃO 117;SEÇÃO 118;SEÇÃO 119;SEÇÃO 120;SEÇÃO 122;SEÇÃO 131;SEÇÃO 132;SEÇÃO 136;SEÇÃO 138;SEÇÃO 140;SEÇÃO 143/141;SEÇÃO 144;SEÇÃO 145;SEÇÃO 146;SEÇÃO 148;
DR PABLO;16;12;16;11;17;23;17;20;17;9;20;13;10;13;9;9;16;16;14;9;22;18;10;19;16;29;14;36;8;2;;;;;16;1;2;1;;;1;2;4;3;1;4;1;3;2;2;30;1;;17;;47;;5;16;1;18;4;1;17;14;27;;3;8;2;20;16;5;20;25;18;18;;7;;2;21;6;;29;15;7;16;3;6;1;26;3;4;
ALDY DO DODÓ;7;2;8;3;8;;;2;9;8;5;2;3;9;5;6;3;3;6;6;4;6;4;7;3;9;6;;;;;2;1;2;7;;;2;;;;;;;3;2;129;127;135;132;3;;10;10;4;3;;4;38;1;1;;2;;7;8;5;2;5;1;4;10;;3;5;;6;1;41;1;3;4;2;;8;1;2;4;3;;1;6;;;
DEUSIM DA CIGANA;13;8;16;5;15;11;6;7;15;11;14;11;8;9;10;6;13;12;;;14;16;14;16;21;7;8;;;;2;1;3;;14;;;;;3;1;1;;1;2;2;4;3;3;4;2;;14;20;3;109;;10;7;171;2;;;18;14;39;12;154;12;2;12;16;;11;36;;10;2;7;37;145;17;9;1;28;9;9;11;146;1;3;13;1;3;
EVERALDO AMIGO NA SAÚDE;10;10;19;11;19;20;19;;19;21;22;12;5;16;16;18;13;16;10;20;29;22;12;20;21;10;10;;;;;1;;;16;;;;;;2;2;1;;1;2;10;2;5;1;13;;22;18;;5;;9;15;;;;;23;17;41;7;2;11;1;12;5;;12;40;;9;;23;;7;6;9;1;44;7;9;5;3;;9;11;1;7;
LOBÃO;1;1;1;2;4;3;4;2;3;2;;;1;3;3;2;2;2;6;1;5;2;2;;4;4;3;;;;2;;;;1;4;2;102;110;116;91;99;;;;1;;;;;;;4;2;;1;;;;4;;;7;1;1;3;2;5;1;81;3;;1;1;2;;;3;;1;3;;2;;3;;;4;4;;;2;1;2;
DORIAM DO TANOCA;2;2;1;1;5;4;1;3;2;;3;4;1;2;1;;3;2;1;2;4;2;8;9;11;1;1;4;1;8;25;23;30;27;4;125;122;;;;1;3;2;1;;;;;;;;2;11;2;50;;;;8;;44;157;2;13;3;5;;;;;4;1;;4;;6;10;49;12;;1;6;4;117;1;1;1;;;;;4;4;;
 SERGIO DO NANXI;1;1;;;2;;1;;2;;;1;;1;;3;;2;1;3;;1;2;2;1;2;1;121;78;;2;4;3;;1;5;2;;;;;;169;184;;;;;;;;164;1;4;3;;190;1;3;;;12;60;1;;1;;1;2;;2;;146;;2;164;;5;1;1;2;1;1;3;;;;;;72;4;;129;;
WELLINGTON PESSOA;21;17;24;16;35;25;18;20;19;24;21;18;10;22;20;16;12;10;17;23;28;33;20;17;17;51;11;;;17;;;;;22;;1;1;;;;;1;;45;43;12;9;8;14;18;;24;32;;4;1;21;1;;4;;;19;19;16;41;1;17;1;33;13;2;40;9;1;28;;9;;3;27;10;;11;22;15;35;1;1;5;18;;12;
IVALTO;;1;;1;3;2;;5;5;4;2;3;2;2;3;1;3;6;1;2;3;3;2;6;3;2;1;;1;103;135;145;175;127;1;45;28;;;;1;;1;;;;1;2;;;;2;4;4;74;;;;1;;97;10;2;4;;1;;1;;1;8;;;;7;;5;70;2;141;;2;2;26;2;;1;3;;30;;;5;1;
VALCENOR;12;15;17;10;25;21;18;25;16;19;19;28;8;17;19;19;19;21;10;23;8;18;7;6;8;32;21;2;;1;;1;1;1;15;1;1;19;16;13;18;8;2;;8;10;2;;2;4;4;;12;15;;10;;4;;;3;1;3;7;11;4;26;1;7;17;5;17;1;18;9;;8;;5;;;12;9;1;6;35;12;5;2;;9;9;1;10;
