localidade,origem,lat,lon,status_validacao,observacao
CENTRO,base_eleitoral,,,pendente_coordenada,
MIL REIS,base_eleitoral,,,pendente_coordenada,
VILA LUIZAO,base_eleitoral,,,pendente_coordenada,
ASTOLFO SEABRA,base_eleitoral,,,pendente_coordenada,
CAMPO VELHO,base_eleitoral,,,pendente_coordenada,
VILA BENTO,base_eleitoral,,,pendente_coordenada,
TUNTUM DE CIMA,base_eleitoral,,,pendente_coordenada,
NOVO MARAJA,base_eleitoral,,,pendente_coordenada,
BELEM,base_eleitoral,,,pendente_coordenada,
IPU IRU,base_eleitoral,,,pendente_coordenada,
SAO LOURENCO,base_eleitoral,,,pendente_coordenada,
SAO BENTO,base_eleitoral,,,pendente_coordenada,
SANTA ROSA,base_eleitoral,,,pendente_coordenada,
SERRA GRANDE,base_eleitoral,,,pendente_coordenada,
CIGANA,base_eleitoral,,,pendente_coordenada,
ARROZ,base_eleitoral,,,pendente_coordenada,
ARARA,base_eleitoral,,,pendente_coordenada,
MATO VERDE,base_eleitoral,,,pendente_coordenada,
BREJO DO JOAO,base_eleitoral,,,pendente_coordenada,
JENIPAPO DOS GOMES,base_eleitoral,,,pendente_coordenada,
SAO JOAQUIM DOS MELOS,base_eleitoral,,,pendente_coordenada,
CREOLI DO BINA,base_eleitoral,,,pendente_coordenada,
CANTO GRANDE,base_eleitoral,,,pendente_coordenada,
ALDEIA,base_eleitoral,,,pendente_coordenada,
SANTANA,mapa_base_visual,,,pendente_coordenada,
SAO MIGUEL,mapa_base_visual,,,pendente_coordenada,
SABONETE,mapa_base_visual,,,pendente_coordenada,
CHAPADINHA,mapa_base_visual,,,pendente_coordenada,
SUMAUMA,mapa_base_visual,,,pendente_coordenada,
CAJAZEIRA,mapa_base_visual,,,pendente_coordenada,
MAMEDIOS,mapa_base_visual,,,pendente_coordenada,
CENTRO DO BIE,mapa_base_visual,,,pendente_coordenada,
