localidade,lat,lon,status_validacao
CENTRO,-5.255784527155879,-44.65021946235093,confirmada_usuario
MIL REIS,-5.2559198752907115,-44.641672690884654,confirmada_usuario
VILA LUIZAO,-5.266581547978559,-44.64397428334195,confirmada_usuario
ASTOLFO SEABRA,-5.273594307933202,-44.64101763053091,confirmada_usuario
CAMPO VELHO,-5.254167532681394,-44.64570416910529,confirmada_usuario
VILA BENTO,-5.283613321525536,-44.64185507502784,confirmada_usuario
TUNTUM DE CIMA,-5.273745522846826,-44.63296501110159,confirmada_usuario
NOVO MARAJA,-5.522638222192139,-44.85271922811691,confirmada_usuario
BELEM,-5.758291958744166,-44.6181357973509,confirmada_usuario
IPU IRU,-5.505905486189621,-44.86646062174089,confirmada_usuario
SAO LOURENCO,-5.784898314502129,-44.82136028125027,confirmada_usuario
SAO BENTO,-5.786759446845751,-44.71396464807228,confirmada_usuario
SANTA ROSA,-5.991448681240779,-44.795677360152,confirmada_usuario
SERRA GRANDE,-5.258806885478064,-44.783383973294484,confirmada_usuario
CIGANA,-5.380241037390525,-44.78254052192323,confirmada_usuario
ARROZ,-5.202527647851387,-44.62631296094674,confirmada_usuario
ARARA,-5.321341136586182,-44.60145229926725,confirmada_usuario
MATO VERDE,-5.598402217466002,-44.58942520209541,confirmada_usuario
BREJO DO JOAO,-5.828978349908755,-44.72723197760513,confirmada_usuario
JENIPAPO DOS GOMES,-5.6243421285678625,-44.91376255190616,confirmada_usuario
SAO JOAQUIM DOS MELOS,-5.898484042898876,-44.818655905090054,confirmada_usuario
CREOLI DO BINA,-5.359662278623261,-44.58848110291113,confirmada_usuario
CANTO GRANDE,-5.955566044171886,-44.70478986716041,confirmada_usuario
ALDEIA,-5.168862346832071,-44.75980841936062,confirmada_usuario
