localidade,lat,lon,status_validacao
CENTRO,-5.257800,-44.648500,confirmada_teste
MIL REIS,-5.259400,-44.651200,confirmada_teste
VILA LUIZAO,-5.262800,-44.654700,confirmada_teste
ASTOLFO SEABRA,-5.252100,-44.650900,confirmada_teste
CAMPO VELHO,-5.266100,-44.645100,confirmada_teste
VILA BENTO,-5.269400,-44.642800,confirmada_teste
TUNTUM DE CIMA,-5.272800,-44.639800,confirmada_teste
NOVO MARAJA,-5.247800,-44.646300,confirmada_teste
BELEM,-5.238900,-44.633500,confirmada_teste
IPU IRU,-5.244800,-44.639700,confirmada_teste
SAO LOURENCO,-5.233400,-44.628100,confirmada_teste
SAO BENTO,-5.228800,-44.620400,confirmada_teste
SANTA ROSA,-5.241500,-44.637100,confirmada_teste
SERRA GRANDE,-5.221800,-44.611400,confirmada_teste
CIGANA,-5.276100,-44.617500,confirmada_teste
ARROZ,-5.219200,-44.603300,confirmada_teste
ARARA,-5.286400,-44.628700,confirmada_teste
MATO VERDE,-5.301700,-44.612500,confirmada_teste
BREJO DO JOAO,-5.314100,-44.598400,confirmada_teste
JENIPAPO DOS GOMES,-5.327700,-44.587300,confirmada_teste
SAO JOAQUIM DOS MELOS,-5.309800,-44.606800,confirmada_teste
CREOLI DO BINA,-5.224900,-44.598900,confirmada_teste
CANTO GRANDE,-5.289500,-44.601400,confirmada_teste
ALDEIA,-5.297900,-44.590800,confirmada_teste
