SEÇÃO,LOCAL DE VOTAÇÃO,BAIRRO,Eleitores aptos,Comparecimento,bairro_padronizado,tipo
SEÇÃO 01,ESCOLA MUN. MARIA SECRETÁRIA,MIL RÉIS,330,273,MIL REIS,URBANO
SEÇÃO 02,ESCOLA MUN. MARIA SECRETÁRIA,MIL RÉIS,333,276,MIL REIS,URBANO
SEÇÃO 03,ESCOLA MUN. MARIA SECRETÁRIA,MIL RÉIS,334,277,MIL REIS,URBANO
SEÇÃO 04,CÂMARA MUNICIPAL,CENTRO,215,185,CENTRO,URBANO
SEÇÃO 05/104,CÂMARA MUNICIPAL,CENTRO,423,360,CENTRO,URBANO
SEÇÃO 06 ,SEC. DE EDUCAÇÃO,CENTRO,320,266,CENTRO,URBANO
SEÇÃO 07/8,COMPLEXO - E.T.I DR. RAFAEL,CENTRO,334,290,CENTRO,URBANO
SEÇÃO 09/10,COMPLEXO - E.T.I DR. RAFAEL,CENTRO,330,284,CENTRO,URBANO
SEÇÃO 11/12,COMPLEXO - E.T.I DR. RAFAEL,CENTRO,253,283,CENTRO,URBANO
SEÇÃO 13/14,COMPLEXO - E.T.I DR. RAFAEL,CENTRO,332,283,CENTRO,URBANO
SEÇÃO 15/16,C.E ISAAC MARTINS,CENTRO,385,328,CENTRO,URBANO
SEÇÃO 17/18,C.E ISAAC MARTINS,CENTRO,376,312,CENTRO,URBANO
SEÇÃO 19,C.E ISAAC MARTINS,CENTRO,193,167,CENTRO,URBANO
SEÇÃO 20,C.E. ESTADO DO MARANHÃO (BANDEIRANTES),CENTRO,286,237,CENTRO,URBANO
SEÇÃO 21,C.E. ESTADO DO MARANHÃO (BANDEIRANTES),CENTRO,289,233,CENTRO,URBANO
SEÇÃO 22,C.E. ESTADO DO MARANHÃO (BANDEIRANTES),CENTRO,290,239,CENTRO,URBANO
SEÇÃO 23,C.E. ESTADO DO MARANHÃO (BANDEIRANTES),CENTRO,285,252,CENTRO,URBANO
SEÇÃO 24,C.E. ESTADO DO MARANHÃO (BANDEIRANTES),CENTRO,288,246,CENTRO,URBANO
SEÇÃO 25/30,ESCOLA MUN. JOSÉ TEIXEIRA EM FRENTE A PREFEITURA,CENTRO,287,248,CENTRO,URBANO
SEÇÃO 27/38,COMPLEXO - E.T.I DR. RAFAEL,CENTRO,328,285,CENTRO,URBANO
SEÇÃO 31,SEC. DE EDUCAÇÃO,CENTRO,325,274,CENTRO,URBANO
SEÇÃO 32,SEC. DE EDUCAÇÃO,CENTRO,322,288,CENTRO,URBANO
